embedding_type,seed,epoch,accuracy
Word2Vec,42,1,0.84068
Word2Vec,42,2,0.85004
Word2Vec,42,3,0.85452
Word2Vec,42,4,0.84876
Word2Vec,42,5,0.85668
Word2Vec,42,6,0.85692
Word2Vec,42,7,0.8596
Word2Vec,42,8,0.85828
Word2Vec,42,9,0.8498
Word2Vec,42,10,0.86056
Word2Vec,123,1,0.8396
Word2Vec,123,2,0.85016
Word2Vec,123,3,0.85404
Word2Vec,123,4,0.85356
Word2Vec,123,5,0.85704
Word2Vec,123,6,0.85824
Word2Vec,123,7,0.84588
Word2Vec,123,8,0.85596
Word2Vec,123,9,0.8604
Word2Vec,123,10,0.85364
Word2Vec,456,1,0.83552
Word2Vec,456,2,0.84944
Word2Vec,456,3,0.85272
Word2Vec,456,4,0.84704
Word2Vec,456,5,0.85528
Word2Vec,456,6,0.85612
Word2Vec,456,7,0.85236
Word2Vec,456,8,0.8568
Word2Vec,456,9,0.85636
Word2Vec,456,10,0.8582
Word2Vec,789,1,0.84028
Word2Vec,789,2,0.84988
Word2Vec,789,3,0.8514
Word2Vec,789,4,0.85624
Word2Vec,789,5,0.85768
Word2Vec,789,6,0.85552
Word2Vec,789,7,0.85688
Word2Vec,789,8,0.86052
Word2Vec,789,9,0.86032
Word2Vec,789,10,0.85936
Word2Vec,1011,1,0.83888
Word2Vec,1011,2,0.85064
Word2Vec,1011,3,0.85264
Word2Vec,1011,4,0.85608
Word2Vec,1011,5,0.85276
Word2Vec,1011,6,0.85532
Word2Vec,1011,7,0.85816
Word2Vec,1011,8,0.85908
Word2Vec,1011,9,0.85596
Word2Vec,1011,10,0.8594
Random,42,1,0.72464
Random,42,2,0.74028
Random,42,3,0.73892
Random,42,4,0.74132
Random,42,5,0.74316
Random,42,6,0.74064
Random,42,7,0.73908
Random,42,8,0.7432
Random,42,9,0.74292
Random,42,10,0.74288
Random,123,1,0.72708
Random,123,2,0.7404
Random,123,3,0.74236
Random,123,4,0.74124
Random,123,5,0.74228
Random,123,6,0.74356
Random,123,7,0.7408
Random,123,8,0.74168
Random,123,9,0.74284
Random,123,10,0.74216
Random,456,1,0.7276
Random,456,2,0.73884
Random,456,3,0.74228
Random,456,4,0.74124
Random,456,5,0.7434
Random,456,6,0.74264
Random,456,7,0.74248
Random,456,8,0.74332
Random,456,9,0.74316
Random,456,10,0.74236
Random,789,1,0.72928
Random,789,2,0.73948
Random,789,3,0.73904
Random,789,4,0.74296
Random,789,5,0.74092
Random,789,6,0.74016
Random,789,7,0.74156
Random,789,8,0.74052
Random,789,9,0.7422
Random,789,10,0.74344
Random,1011,1,0.72436
Random,1011,2,0.73992
Random,1011,3,0.74112
Random,1011,4,0.74076
Random,1011,5,0.74252
Random,1011,6,0.74288
Random,1011,7,0.7422
Random,1011,8,0.74032
Random,1011,9,0.7426
Random,1011,10,0.74188
